"","CD8_Tcells","CD4_Tcells","NK_cells","B_cells","Monocytes","Macrophages","Neutrophils","Erythrocytes"
"1",-1.03021217291316e-21,0.520042577066631,1.68233933512473e-19,-4.67077832937643e-19,-6.88965251451998e-22,6.45581911552328e-19,0.223606675268685,0.256350747664684
"2",2.01014214222614e-21,0.77937200641004,-1.75156388602087e-19,-2.39341882196806e-19,9.22160960476533e-24,0.125387905586624,0.0952400880033371,-2.24578106063596e-17
"3",1.14225209207677e-21,0.441825612840618,6.97157791997182e-20,-2.90303881630467e-19,-5.58273131055534e-22,1.13041852663302e-18,0.241099418302237,0.317074968857145
"4",-1.4860066173172e-21,0.779264086885523,9.67189209080677e-05,-1.60833967033218e-19,2.07602516954423e-22,0.00845160479330551,0.164923879076375,0.047263710323888
"5",-1.54786411890268e-22,0.633743165908674,1.86112488217319e-19,-7.35665058893609e-19,5.57750531647574e-23,0.0900466431767892,0.146539211176995,0.129670979737542
"6",-4.16311083355164e-22,0.41438331631991,1.51025871642219e-19,8.62213325412443e-20,3.59926304926478e-22,0.142595189924484,0.339404369917167,0.103617123838439
"7",1.11301208460017e-21,0.131584330449925,-2.22443767992222e-19,-8.86157916813952e-19,2.70994009910574e-23,0.148963950333333,0.334109090075127,0.385342629141615
"8",1.44765607576331e-21,0.236493073815722,-7.99263139443936e-20,-3.11920056679344e-19,3.97967236882299e-22,0.032358195012512,0.231507167470015,0.499641563701752
"9",-2.77562451465301e-21,0.121226549209709,-3.04174807519661e-19,-7.0230529510771e-19,1.72660446128829e-22,0.217537951517652,0.404366449689871,0.256869049582767
"10",-9.83712203670283e-22,0.399784063151416,9.85221456178826e-20,-4.16204679757932e-19,2.97943388751509e-23,0.0630676181810279,0.311179755882598,0.225968562784959
"11",-1.26853101862472e-21,0.794206245872196,-1.22333512085992e-19,-7.22901650472954e-20,-4.32314338500482e-22,5.67461373994978e-18,0.112359498713465,0.0934342554143386
"12",3.00522799474674e-22,0.739464802844704,8.14030892730937e-05,-6.25355077690261e-20,-1.80227434225177e-23,0.183133841827491,-7.98958516901267e-18,0.0773199522385326
"13",-6.51986038587989e-22,0.790754714757348,-1.14534402733206e-19,0.000232910512278065,-2.00469974953809e-23,0.19990896717963,-1.15927909496922e-17,0.00910340755074325
"14",-2.61465295964108e-22,0.770478286237134,-8.70063147536873e-20,0.00052550713377558,3.09374572614404e-22,0.165629883137683,-1.13221051877425e-17,0.0633663234914073
"15",2.08193757793203e-21,0.745176169633779,-1.08969209936815e-20,1.01445693900911e-19,-2.67762673190387e-22,0.254823830366221,9.24156074650343e-18,-2.62025659237528e-17
"16",1.52227411613351e-06,0.662143850019119,1.0737436527416e-05,2.57230452347684e-20,2.30805897540707e-23,0.229400596426051,0.054668739350417,0.0537745544937688
"17",-9.9436942144142e-22,0.788719175665053,6.02030332379545e-05,3.48980109107838e-20,1.7572078728015e-22,0.192669982619215,0.018550638682494,-2.52273591100283e-17
"18",9.57139883317405e-22,0.909469509154116,-2.1220300223501e-19,0.000277774350524179,-5.03912240194063e-22,0.0632792151962877,-2.3401543829275e-17,0.0269735012990718
"19",-1.46305817471301e-21,0.756387510921664,2.49095446432166e-05,-2.27736518689078e-19,1.47843410263603e-23,0.195378304506129,0.0139559053609615,0.0342533696666023
"20",-7.03238111210793e-22,0.700564681690765,4.23137651037845e-05,6.0982048922187e-20,1.22638556939941e-06,0.275664616994848,0.0237271611637136,-5.2157378957114e-18
"21",2.41168863316936e-07,0.838002109857096,7.6992746080321e-05,8.73591347636733e-06,2.58019793194371e-22,0.126165776517566,0.026900012566163,0.00884613123075475
"22",-9.58938987209557e-23,0.689569101008396,0.000245875964663608,-5.07488718041094e-20,1.41879392473788e-07,0.226814102446891,0.0801328127231125,0.00323796597754375
"23",1.83114236600937e-22,0.734731206904817,4.42714687764982e-21,0.000641696227596198,7.58375805894356e-24,0.151055305938737,0.0577787204359978,0.055793070492852
"24",2.86659509541723e-07,0.725971419251073,2.40272553904319e-05,4.50961887694701e-05,2.7774052962774e-07,0.221314840126809,0.0362642426317066,0.0163798101462127
"25",-3.45602916811388e-22,0.732870161634116,6.53067945745476e-05,-1.8785952129643e-19,2.82661560169103e-22,0.203013177676243,0.0335444524928867,0.0305069014021798
"26",3.94312455030475e-25,0.762676019176147,-1.59524126799504e-20,-5.89956682278367e-20,1.29432952604041e-06,0.210696053858444,0.0266266326358823,5.20795597277272e-19
"27",-2.42890611249906e-22,0.730699605151398,-1.06501401623883e-20,3.40409945331128e-05,1.8485662723424e-07,0.172836919539667,0.0179775728678164,0.0784516765899584
"28",1.82280577906987e-07,0.84769693104221,1.41901617349953e-05,0.000269041250168421,-2.17502234515563e-22,-1.35981962213899e-18,0.116626898450033,0.0353927568152767
"29",7.06753538379463e-22,0.801252983228796,3.94568419644843e-06,0.000526348297988044,3.28219568766331e-23,0.142424473221888,0.0259666296965717,0.0298256198705592
"30",-9.20840914611113e-22,0.689789744325697,6.84145645673498e-20,-2.08918917256305e-19,-3.80188989250958e-23,0.180534718105314,0.0353393299260231,0.0943362076429657
"31",-1.44199520881546e-21,0.574622076118177,0.000107516401419376,4.14629234797552e-06,1.24175313464057e-22,0.206566369970856,0.0332647799339938,0.185435111283205
"32",-5.68325371627086e-21,0.704884803633578,-1.59482283773128e-21,4.12411475448072e-19,4.78161177766009e-23,0.232506115094057,0.0616110574314739,0.000998023840890876
"33",-2.12937066164007e-23,0.673073226240621,0.000341675076998437,-3.27806225042051e-20,4.45085891208962e-07,0.188900400001034,0.0912540869240619,0.0464301666713934
"34",8.79887543581031e-21,0.51232337200312,9.65580036078203e-21,1.21079744251047e-19,7.12410704998795e-06,0.266436366795485,0.132607642895216,0.0886254941991287
"35",-5.4157143366594e-21,0.722481519156578,-1.48189513777075e-21,0.00041563964522323,-7.36427259132415e-22,0.212792252942148,0.0643105882560514,1.26456784004706e-17
"36",3.11131256202229e-07,0.880884232968188,6.94911566337939e-21,0.000272717409392167,-7.24916155655569e-23,0.10075538636933,1.3773362039651e-18,0.0180873521218338
"37",3.81215162782871e-22,0.507534049716214,1.57026315625313e-05,0.000404938391240223,7.7733760888528e-07,0.244040386632529,0.0968299924106042,0.151174152880241
"38",8.93683481262804e-21,0.707754210685977,-2.35194120712026e-21,3.05742548719501e-19,1.03857902539369e-21,0.253152942811175,0.0200355728577055,0.0190572736451421
"39",-4.89552228902975e-23,0.746677000013233,3.86122693828245e-05,0.000389057683578574,1.25881471346041e-07,0.243739149022517,0.00125448689450077,0.0079015682353166
"40",2.98315651427379e-07,0.879519729464577,3.48061640701332e-05,0.00035451392673295,1.31855329373631e-22,0.119116192588017,0.000974459540951665,-3.06466726737521e-19
"41",1.45156671493626e-07,0.836070381543759,3.20300693196458e-05,9.46571963527461e-05,2.49144813502244e-22,0.109987321734932,0.0127425171892783,0.0410729471096869
"42",-8.1845046397958e-22,0.797216350331633,1.99064869268134e-05,5.32658467998951e-20,-1.87928126779425e-22,0.134911623735909,0.0659077536051912,0.00194436584034036
"43",7.29235559302549e-22,0.634500852744127,-2.57467635016095e-20,0.0004459877867755,2.5989706674449e-22,0.331071780962108,0.0339813785069888,-3.06783465354122e-17
"44",4.44385090536398e-22,0.62562220017212,-1.08682828140095e-20,-1.07411078848781e-20,6.40476476298598e-23,0.190844631052648,0.030584153019591,0.152949015755641
