"Gene","logFC.unadj","AveExpr","t","P.Value.unadj","adj.P.Val.unadj","logFC.adj","t.adj","P.Value.adj","adj.P.Val.adj","Delta_logFC","EffectChange_Direction","CCI_legacy","SE_unadj","SE_adj","CCI_floor","CCI_denominator","CCI_stabilized_raw","CCI_stabilized","BaselineReliability","CCI","CCI_SE_approx","CCI_lower_approx","CCI_upper_approx","CCI_interval_method","CompositionTransform","CompositionCovariates","logFC_adj_median","logFC_adj_lower","logFC_adj_upper","Boot_CCI_median","Boot_CCI_lower","Boot_CCI_upper","Boot_CCI_rank_median","Boot_CCI_rank_lower","Boot_CCI_rank_upper","Prob_CCI_lt_0_2","Prob_CCI_gt_0_5","Prob_top5_low_CCI","Bootstrap_Evaluable","CCI_Rank_Tier"
"SLC7A11",3.28154465387878,0.859453632954545,9.4964438935404,2.54801645085684e-12,2.17651565232192e-10,3.04592226031941,6.83638936830149,2.76054773238265e-08,1.4701121402751e-06,-0.235622393559374,"attenuation",0.0718022816727081,0.345555103643684,0.445545462118137,0.345555103643684,3.28154465387878,0.0718022816727081,0.0718022816727081,"stable_baseline",0.0718022816727081,0.167295411546693,0,0.399701288304227,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",3.21442945573567,2.86102782897565,3.63478934736424,0.0386546657084146,0.00185211790257693,0.130607570383221,3,1,9,0.995,0,0.835,200,"Lowest"
"NFKB1",1.42658611866666,0.367495368272727,10.2328130951243,2.50502555808837e-13,3.17547436703458e-11,1.3127126867332,7.22961891325247,7.683232540871e-09,5.85983681822501e-07,-0.113873431933464,"attenuation",0.0798223328009763,0.139412897060184,0.181574257576273,0.139412897060184,1.42658611866666,0.0798223328009763,0.0798223328009763,"stable_baseline",0.0798223328009763,0.155840536505861,0,0.385269784352465,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",1.36889423052967,1.21390731604598,1.55961063925739,0.0479603886095202,0.00367564965800284,0.150976556059433,4,1,10,0.985,0,0.72,200,"Lowest"
"NFE2L2",-0.23248306960606,-0.0821240856136363,-1.6858479929573,0.0987452832986744,0.156223553477789,-0.212667773985511,-1.24407245657163,0.220515372025792,0.344737953419474,0.0198152956205488,"attenuation",0.0852332845317535,0.137902747209278,0.170944845585259,0.137902747209278,0.23248306960606,0.0852332845317535,0.0852332845317535,"stable_baseline",0.0852332845317535,0.913836750856937,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",-0.213801585480635,-0.446008861737197,-0.0712784080337565,0.301450825202919,0.00595496239853729,0.966184247218782,15,1.975,19.0125,0.33,0.24,0.135,200,"Lowest"
"TNF",2.61610960542424,0.634862818659091,10.1917378920617,2.84599972765472e-13,3.57507789318038e-11,2.33629528350058,7.46536527773825,3.58643419497759e-09,3.19117925973943e-07,-0.279814321923662,"attenuation",0.106958179941504,0.256689254877907,0.312951235014235,0.256689254877907,2.61610960542424,0.106958179941504,0.106958179941504,"stable_baseline",0.106958179941504,0.148283656125154,0,0.397594145946805,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",2.53585143525711,2.13225482442274,2.78407575439753,0.038848140657045,0.00228245527139154,0.184952029532047,3,1,12,0.975,0,0.74,200,"Lowest"
"FTL",0.291573353848484,0.0394243106136363,2.88537370765523,0.00598167490615693,0.0150440074927548,0.259782965507698,2.29306755042451,0.0270271762221981,0.0719455215325955,-0.0317903883407864,"attenuation",0.109030499259223,0.101052197528142,0.11329058555628,0.101052197528142,0.291573353848484,0.109030499259223,0.109030499259223,"stable_baseline",0.109030499259223,0.496307005735746,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.212296279499795,0.0668773777622069,0.331295720825576,0.271894099039948,0.0239961352120602,0.770632752000516,13,2,19,0.33,0.165,0.1,200,"Lowest"
"IL1B",3.92305948124242,1.01685091634091,12.0333857973303,1.15273114784109e-15,4.71982904242538e-13,3.4803460728192,8.73335728299685,6.49207288510613e-11,1.61207228443537e-08,-0.442713408423223,"attenuation",0.112849017594558,0.326014601984488,0.398511816251369,0.326014601984488,3.92305948124242,0.112849017594558,0.112849017594558,"stable_baseline",0.112849017594558,0.125515456247757,0,0.358859311840162,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",3.71117396662953,3.25510659051385,4.078512365735,0.0546224692562492,0.00169144780746815,0.170263258541528,5,1,9,0.995,0,0.695,200,"Lowest"
"TFRC",0.831383091727272,0.20958255675,4.75894245428208,2.0419760619606e-05,0.00012039314964983,0.72430138845612,3.18262375416332,0.00277810898033105,0.0124114052876505,-0.107081703271152,"attenuation",0.128799472032419,0.174699126899338,0.227579960561984,0.174699126899338,0.831383091727272,0.128799472032419,0.128799472032419,"stable_baseline",0.128799472032419,0.329309688253485,0,0.774246461009249,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.625740465170037,0.424354337733574,0.800161784937685,0.247350022635165,0.0376366019756404,0.489580264554165,13,4.975,17,0.33,0.02,0.04,200,"Lowest"
"HMOX1",0.277501924848484,0.140850804545455,1.48148801532412,0.145442806578974,0.215405446597822,0.317724353214548,1.42876956260569,0.160620300173294,0.271880668215021,0.0402224283660631,"amplification",0.144944682412652,0.18731297315812,0.222376205043943,0.18731297315812,0.277501924848484,0.144944682412652,0.144944682412652,"stable_baseline",0.144944682412652,1.11329907068222,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.298235213280405,0.110809735548569,0.563844120587385,0.287799113184045,0.0189850677982244,1,14,1,20,0.415,0.265,0.135,200,"Lowest"
"GCLM",1.11430992860606,0.286462425363636,7.83822489775825,5.9186640428718e-10,1.70570945527027e-08,0.941799273687891,5.21305224272255,5.5924439400823e-06,8.82028362928047e-05,-0.172510654918168,"attenuation",0.154813890184008,0.142163556563011,0.180661775450773,0.142163556563011,1.11430992860606,0.154813890184008,0.154813890184008,"stable_baseline",0.154813890184008,0.194712103130652,0,0.536449612320086,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.969492166762316,0.716941831295247,1.07945708510185,0.129961833890237,0.0445135534520929,0.356604645718178,8,3.975,15.025,0.835,0.005,0.15,200,"Lowest"
"SLC25A37",2.60260783566666,0.892542441431818,9.28033019239903,5.09647892663232e-12,3.65219152611521e-10,2.16037301388857,7.49744521253604,3.23428852837775e-09,2.99424741446471e-07,-0.442234821778095,"attenuation",0.1699198840938,0.28044345208733,0.288147889400557,0.28044345208733,2.60260783566666,0.1699198840938,0.1699198840938,"stable_baseline",0.1699198840938,0.142331486445331,0,0.44888959752665,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",1.97805660484284,1.68977746471668,2.29454668522071,0.239971317332117,0.118366334806272,0.350736810379332,12,8,17,0.215,0.005,0.005,200,"Lowest"
"FTH1",1.13098907409091,0.329824438068182,6.9377532886703,1.25794584131897e-08,2.19114465264001e-07,0.932775844107163,4.83074985691724,1.9174757888794e-05,0.000235602390515072,-0.198213229983745,"attenuation",0.175256538303051,0.163019500266444,0.193091315372396,0.163019500266444,1.13098907409091,0.175256538303051,0.175256538303051,"stable_baseline",0.175256538303051,0.208038163022416,0,0.583011337826987,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",1.03139482063905,0.817074179669415,1.33611737001047,0.111632568532307,0.00535138300406051,0.282761076652919,7.5,1,13,0.85,0,0.305,200,"Lowest"
"STAT3",0.889530534242423,0.268178944772727,6.25871074967409,1.2864313257329e-07,1.56444994083292e-06,0.731498485871507,4.05462383482728,0.000218088216504718,0.00161710898036745,-0.158032048370916,"attenuation",0.177657811944033,0.142126800521776,0.180410937159765,0.142126800521776,0.889530534242423,0.177657811944033,0.177657811944033,"stable_baseline",0.177657811944033,0.24165688384772,0,0.651305304285564,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.739910414352466,0.59592593060954,0.931051144755989,0.168201218654492,0.0097206009319807,0.330066919943264,10,1,14,0.62,0,0.175,200,"Lowest"
"IFNG",1.08384030327273,0.280366397363636,3.20000503428655,0.00251956134557912,0.00731446880571535,0.882184586745945,2.11372951556117,0.0406468069647572,0.097573354623695,-0.201655716526781,"attenuation",0.186056668974081,0.338699561925649,0.417359260137755,0.338699561925649,1.08384030327273,0.186056668974081,0.186056668974081,"stable_baseline",0.186056668974081,0.461497341818136,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",1.0046171095825,0.540964322254532,1.36257199034492,0.126790853924285,0.00533098200556928,0.503615986235338,8,1,18,0.705,0.035,0.335,200,"Lowest"
"IL6",3.54199058957575,0.921755024181819,7.3356118880299,3.24075242888798e-09,7.01177995125661e-08,2.74210616083226,4.81926057260726,1.98926673668872e-05,0.000241917945113824,-0.79988442874349,"attenuation",0.225829066598197,0.482848689876232,0.568988980678578,0.482848689876232,3.54199058957575,0.225829066598197,0.225829066598197,"stable_baseline",0.225829066598197,0.192206604270328,0,0.602554010968039,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",3.07519282385853,2.42930153327646,3.63265731032272,0.133068934504802,0.0254550870443877,0.314142296022466,8,2,15,0.825,0,0.13,200,"Low-moderate"
"GPX4",0.351956053969696,0.00189371315909093,2.70269878284626,0.00966655921965518,0.0224209158396586,0.43698236423082,2.58980720568159,0.0132216330394982,0.0418789637434713,0.0850263102611238,"amplification",0.241582178519494,0.130223928838657,0.16873161958626,0.130223928838657,0.351956053969696,0.241582178519494,0.241582178519494,"stable_baseline",0.241582178519494,0.663980808004256,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.440585837417059,0.307302390200436,0.64512471275491,0.255173203903933,0.0141479962695616,0.832969501386827,14,1.975,20,0.385,0.24,0.135,200,"Low-moderate"
"JAK2",-0.848198108696969,-0.127486606022727,-5.29429382689037,3.42949510217021e-06,2.60351467852274e-05,-1.05399036591764,-5.61208735012986,1.52407666266591e-06,3.08791813389283e-05,-0.20579225722067,"amplification",0.242622867359153,0.160209866779374,0.187807191898617,0.160209866779374,0.848198108696969,0.242622867359153,0.242622867359153,"stable_baseline",0.242622867359153,0.322668701973637,0,0.875053523227482,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",-1.08569168134942,-1.21036832955024,-0.901543739064128,0.279997762571413,0.0628928900220148,0.426987772243028,14,3,17,0.29,0.005,0.075,200,"Low-moderate"
"CXCL8",4.12285165493939,1.05414906788636,9.45924346122758,2.86982591491041e-12,2.36622132868385e-10,2.85888017460246,6.91289204047115,2.15096820151773e-08,1.2416827412168e-06,-1.26397148033693,"attenuation",0.306576997215659,0.435854270147344,0.413557763938059,0.435854270147344,4.12285165493939,0.306576997215659,0.306576997215659,"stable_baseline",0.306576997215659,0.124240316242412,0.0630659773805306,0.550088017050788,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",2.83183953524408,2.20229907878009,4.26200876959442,0.313135719581036,0.00463866305594992,0.465831113243761,14,1,17,0.305,0.005,0.19,200,"Low-moderate"
"SLC40A1",0.466038067878787,0.102098864,2.30309689271966,0.0259482541289007,0.0510949715926855,0.711572785338864,2.86333421185125,0.0065687031772052,0.0245021233797759,0.245534717460077,"amplification",0.526855496113546,0.202352783919767,0.248511955884747,0.202352783919767,0.466038067878787,0.526855496113546,0.526855496113546,"stable_baseline",0.526855496113546,0.850800670438478,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",0.608815125532564,0.20165883148436,0.812178682476253,0.403024186181482,0.0404992120126769,0.748033847759993,17,3,19.5125,0.21,0.32,0.05,200,"High"
"NCOA4",-0.00311983821212122,-0.00736020425,-0.0425913173323703,0.966215669421587,0.97576542232564,-0.0752940166567457,-0.846354729947467,0.402251675156332,0.533976783922637,-0.0721741784446244,"undefined",NA,0.0732505686023962,0.0889627173955998,0.1,0.1,0.721741784446244,0.721741784446244,"small_baseline",0.721741784446244,1.15238929563684,0,1,"stabilized_delta_numerator_only","ilr","ILR7;ILR6;ILR5;ILR3",-0.0809362216526408,-0.190325775251689,-0.00521374445687888,0.778163834405195,0.0610426368079097,1,19,4,20,0.07,0.775,0.035,200,"High"
"STAT1",-0.223232588212121,-0.115910242477273,-1.19632902081484,0.237831157805959,0.323495820060271,-0.416379165943796,-1.73880456510773,0.0895491770173334,0.175201344498869,-0.193146577731675,"amplification",0.865225723890019,0.18659798795157,0.239462889791757,0.18659798795157,0.223232588212121,0.865225723890019,0.865225723890019,"stable_baseline",0.865225723890019,1.89250270642301,0,1,"delta_ratio_independent_cov0","ilr","ILR7;ILR6;ILR5;ILR3",-0.404374856093462,-0.626078066146791,-0.251635304599593,0.811450825043589,0.151101760368987,1,19,9.975,20,0.035,0.785,0.015,200,"High"
